"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11-Jan",9.00946426391602,12.5955028533936,14.294487953186,10.2160167694092,32.2865943908691,8.50429821014404,12.9557065963745,0,0,8.595778465271,8.65478801727295,6.94539737701416,6.28406429290771,0,12.0673131942749,4.11500978469849,3.41808605194092,6.63664436340332,8.87078285217285,12.9194269180298,0,11.6951608657837,5.91703081130981,4.43632459640503,5.30167245864868,0,10.6303033828735,4.23895072937012,9.20040607452393,11.0747699737549,1.53825664520264,15.8326711654663,9.33457660675049,10.6330499649048,0,9.56707859039307
"12-Jan",0,8.39700031280518,21.4417324066162,17.5131721496582,0,8.50429821014404,11.3362417221069,0,8.04510498046875,11.0894355773926,18.7988033294678,0,0,13.180947303772,7.03926563262939,4.11500978469849,6.83617210388184,0,13.3061752319336,0,0,0,0,0,0,21.4488277435303,5.31515169143677,0,18.4008121490479,14.7663593292236,3.07651329040527,12.6661367416382,9.33457660675049,10.6330499649048,17.0582160949707,6.37805271148682
"13-Jan",0,14.3948583602905,21.4417324066162,11.6754484176636,16.1432971954346,0,25.911413192749,11.5111989974976,16.0902099609375,11.7495183944702,8.07204627990723,13.8907947540283,0,13.180947303772,17.5981636047363,4.11500978469849,0,0,8.87078285217285,14.7650594711304,4.20527458190918,0,0,8.87264919281006,5.30167245864868,10.7244138717651,0,0,9.20040607452393,11.0747699737549,6.15302658081055,6.33306837081909,14.0018653869629,15.94957447052,17.0582160949707,3.18902635574341
"14-Jan",0,8.39700031280518,14.294487953186,20.4320335388184,0,9.71919822692871,0,39.466968536377,0,10.0332984924316,6.41015386581421,0,0,5.02131319046021,7.03926563262939,8.23001956939697,6.83617210388184,6.63664436340332,4.43539142608643,25.8388538360596,0,3.73282122612,0,8.87264919281006,21.2066898345947,21.4488277435303,5.31515169143677,4.23895072937012,4.60020303726196,0,4.61476945877075,3.16653418540955,28.0037307739258,15.94957447052,11.3721437454224,3.18902635574341
"15-Jan",14.3150367736816,8.39700031280518,0,15.3240251541138,0,34.0171928405762,11.3362417221069,13.1556568145752,10.5591993331909,9.93061828613281,8.05046367645264,13.8907947540283,0,21.9682445526123,0,8.23001956939697,13.6723442077637,0,22.1769580841064,0,9.61205673217773,0,0,8.87264919281006,21.2066898345947,21.4488277435303,10.6303033828735,0,13.800609588623,11.0747699737549,4.61476945877075,3.16653418540955,18.669153213501,5.31652498245239,5.68607187271118,9.56707859039307
"16-Jan",26.1433944702148,0,24.6512641906738,7.88495206832886,0,2.79660701751709,8.50129508972168,23.556209564209,14.7708158493042,10.6102819442749,9.7680721282959,0,0,16.7659187316895,0,0,2.50743460655212,0,14.5242300033569,7.82401371002197,12.1741762161255,7.50584888458252,3.03628540039062,10.9146642684937,8.26875972747803,20.4672889709473,9.22904682159424,0,0,15.3063879013062,3.2349545955658,6.79762125015259,0,9.07210922241211,0,4.63967990875244
"17-Jan",3.89410018920898,0,24.6512641906738,9.73473739624023,0,5.59321403503418,9.71576690673828,21.5670223236084,14.7708158493042,0,14.6521081924438,0,5.46999549865723,15.3288421630859,3.89128470420837,25.8345890045166,2.50743460655212,3.89571619033813,16.59912109375,11.7360191345215,8.11611747741699,2.77082633972168,3.03628540039062,3.63822150230408,0,11.6955938339233,12.3053970336914,3.9364070892334,0,0,4.8524317741394,6.79762125015259,7.61572265625,13.6081638336182,8.29501724243164,2.31983995437622
"18-Jan",39.1300277709961,0,24.6512641906738,7.99705982208252,12.302619934082,6.99151802062988,0,13.5055589675903,7.3854079246521,10.6102819442749,14.6521081924438,0,4.78624582290649,7.66442108154297,7.36670684814453,0,7.52230453491211,3.89571619033813,11.0660810470581,11.7360191345215,16.232234954834,11.0833053588867,6.07257080078125,14.5528860092163,4.13437986373901,17.0560741424561,9.22904682159424,5.9046106338501,0,0,3.2349545955658,6.79762125015259,0,13.6081638336182,0,0
"19-Jan",27.315408706665,4.88226699829102,0,3.5500967502594,18.453929901123,1.39830350875854,17.0025901794434,7.17155694961548,7.3854079246521,10.6102819442749,9.7680721282959,0,21.8799819946289,11.4966306686401,14.0205078125,12.9172945022583,5.01486921310425,11.6871480941772,14.5242300033569,0,16.232234954834,3.16665887832642,0,0,0,3.41121482849121,0,3.9364070892334,0,15.3063879013062,6.46990919113159,4.53174781799316,15.2314453125,0,0,9.27935981750488
"20-Jan",5.67101860046387,17.3625602722168,0,5.47462272644043,14.0601377487183,6.99151802062988,14.5736503601074,5.81053161621094,0,0,0,0,10.9399909973145,3.83221054077148,22.040714263916,19.3759422302246,7.52230453491211,0,16.59912109375,23.472038269043,23.1889057159424,8.31247901916504,3.03628540039062,3.63822150230408,4.13437986373901,6.82242965698242,0,5.9046106338501,0,38.2659721374512,6.46990919113159,2.26587390899658,7.61572265625,4.53605461120605,24.8850517272949,0
"21-Jan",11.0627422332764,4.82936525344849,18.916748046875,2.27504897117615,10.1724510192871,10.1174726486206,16.6621227264404,8.35678386688232,9.6779727935791,4.3347601890564,4.34611129760742,0,38.4623527526855,10.9293975830078,0,5.27740049362183,4.66299819946289,16.5793914794922,4.51369142532349,0,13.5703363418579,34.0335159301758,3.79338908195496,11.4865455627441,6.36807107925415,25.3259792327881,10.7196016311646,8.90737915039062,0,12.6806039810181,27.0239601135254,8.76282215118408,28.4816818237305,13.2323684692383,0,4.24126243591309
"22-Jan",21.1973171234131,11.0385494232178,8.27607727050781,12.2617444992065,10.1724510192871,4.04698896408081,27.9668121337891,8.5353479385376,11.7667446136475,26.3406581878662,26.0766696929932,0,14.4233837127686,0,3.51056694984436,0,12.2403707504272,0,3.572185754776,3.2366144657135,13.5703363418579,20.4201107025146,5.69008350372314,0,0,25.3259792327881,10.7196016311646,13.3610687255859,0,12.6806039810181,10.8095836639404,5.25769329071045,28.4816818237305,0,0,16.9650497436523
"23-Jan",16.1049461364746,19.3174610137939,8.27607727050781,1.03123486042023,5.08622550964355,6.07048320770264,13.1232652664185,4.0533971786499,9.60834789276123,4.63772678375244,8.69222259521484,0,4.80779409408569,14.5725297927856,39.6920547485352,20.3335113525391,0,5.52646398544312,10.1627292633057,3.2366144657135,0,15.5581798553467,1.89669454097748,7.65769672393799,0,7.2359938621521,21.4392032623291,5.08993101119995,0,12.6806039810181,16.214376449585,7.01025772094727,21.3612613677979,0,10.4945831298828,4.24126243591309
"24-Jan",16.4059715270996,24.1468257904053,0,0,0,4.62513017654419,19.0213623046875,7.94608688354492,4.6301097869873,14.9910440444946,17.3844451904297,13.5474004745483,21.9784889221191,10.9293975830078,2.26488161087036,17.8278560638428,12.2403707504272,0,10.1627292633057,0,13.5703363418579,27.2268142700195,3.79338908195496,7.65769672393799,0,10.8539915084839,16.0794010162354,0,24.933219909668,19.0209064483643,21.6191673278809,7.01025772094727,21.3612613677979,0,10.4945831298828,16.9650497436523
"25-Jan",0,5.51927471160889,0,3.03038334846497,0,8.09397792816162,10.1742172241211,0,5.58746290206909,4.72512197494507,8.69222259521484,13.5474004745483,9.61558818817139,14.5725297927856,0,14.6791563034058,16.3204936981201,11.0529279708862,52.1843719482422,7.39797592163086,3.95801496505737,13.6134071350098,5.70101737976074,0,0,0,10.7196016311646,0,24.933219909668,12.6806039810181,21.6191673278809,3.50512886047363,28.4816818237305,0,10.4945831298828,8.48252487182617
"26-Jan",7.85226535797119,4.53201484680176,0,24.1747379302979,0,26.4102020263672,7.17445230484009,23.2182159423828,0,4.92617654800415,5.24698257446289,7.99152755737305,3.17893600463867,9.69041061401367,4.51829147338867,18.0213775634766,15.8377313613892,6.79515027999878,25.7417068481445,41.5919456481934,11.8684425354004,35.2192611694336,9.28623104095459,6.43976879119873,6.43002557754517,0,13.2557811737061,0,18.4482154846191,3.87428998947144,6.77897119522095,0,9.44794940948486,7.47393560409546,0,0
