"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"17-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54320192337036,0,0,0,0,0,0,0,0,0,0,0,0,
"18-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"20-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"21-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516736328601837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"22-Feb",0,0.228973761200905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771523356437683,1.07530045509338,0,0,0,0,0,
"23-Feb",0,0.228973761200905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"24-Feb",0,0.915895044803619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843543410301208,
"25-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843543410301208,
"26-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495380729436874,0,
"27-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"28-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.131911277771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"29-Feb",,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,
"1-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66391372680664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"3-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"5-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"6-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01521134376526,0,0,0,0.439432740211487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"7-Mar",0,0,0,0,0,0,0,1.29005599021912,0,0,0,0,0,0,0,0,1.01521134376526,0,0,0,0,0,0,0,2.344886302948,0,0,0,0,0,0,0,0,0,0,
"8-Mar",0,0,0,0,0,0,0,2.25759768486023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"9-Mar",0,0,0,0,0,0,0,1.29005599021912,2.55733394622803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35374402999878,0,0,0,0,0,0,0,0,0,
"10-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81266629695892,0,
"11-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86412525177002,0.801468133926392,0,0,0,0,0,0,0,
"12-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"13-Mar",5.7339973449707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"14-Mar",1.6724157333374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60912251472473,0,0,0,0,0,0,0,0,0,0,0,4.55300283432007,
"15-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910600602626801,
"16-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"17-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33138251304626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19-Mar",0,0,0,0,2.69179558753967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"20-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0867737531662,0,0,0,0,0,0,
"21-Mar",0,0,0,0,0,0,0,0,0,2.73442363739014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"22-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46982908248901,0,0,
"23-Mar",0,0,0,0,1.98150217533112,0,0,0,0,0,0,0,2.35493731498718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9810049533844,0,
"24-Mar",0,0,0,0,0,0,0,0,0,0,0,1.47411513328552,0,0,0,0,0,0,0,0,0.445875972509384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"25-Mar",0,0,0,0,0,0,0.92208868265152,0,0,0,0,1.47411513328552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"26-Mar",0,0,0,2.47502040863037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"27-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92549324035645,0,0,0,0,0,0,
"28-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968683540821075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"29-Mar",0,0,0,0,0,0,1.2938187122345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962746620178223,0,0,0,0,0,3.17075777053833,
"30-Mar",0,0,0,0,0,0,1.2938187122345,0,0,0,0,0,0,0,0,0,0,3.96586561203003,0,0,0,0,0,0,0,0,0,1.97644746303558,0,0,0,0,0,0,0,
"31-Mar",0,0,0,0,0,0,0.646909356117249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988223731517792,0,0,0,0,0,0,0,
"1-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30332541465759,0.547409176826477,0,0,0,0,0,0,
"2-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95498824119568,0,0,0,0,0.770206809043884,0,1.81292080879211,
"3-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81292080879211,
"4-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343067437410355,0,0,0,1.30332541465759,0,0,0,0,0,0,0,
"5-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8884636759758,0,0,0,0,0,0.343067437410355,0,0,0,0,0,0,0,0,0,0,0,
"6-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921349406242371,0,0,0,0,0,0,0,0,0,0,0,0,0,
"7-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614232897758484,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701980531215668,0,0,0,0,2.27364039421082,0,0,0,0,0,0,0,0,
"9-Apr",0,0,0,0,0,0,0,1.9705274105072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"10-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"11-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4277046918869,0.701195299625397,0,0,0,
"12-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39825248718262,0,0,0,0,0,0,0,0,0,0,0,2.5925018787384,
"13-Apr",0,0,3.26739501953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86870551109314,0,0,0,0,0,0,0,0,0,0,2.10358595848083,0,0,0,
"14-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86870551109314,0,0,0,0,0,0,0,0,0,0,0.701195299625397,0,0,0,
"15-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86870551109314,0,0.699126243591309,0,0,0,0,0,0,0,0,0,0,0,0,
"16-Apr",0,3.58514714241028,0,0,0,0,0,0,0,0,0,0,0,0,2.43845009803772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67998027801514,0,0,0,0,
"17-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40676403045654,0,2.54782247543335,0,
"18-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849274098873138,0,
"20-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795800864696503,0,0,0,0,0,0,0,0,0,
"21-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19513916969299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"22-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19513916969299,0,0,0,0.732795357704163,0.49174764752388,0,0,0,0,0,0,0,0,1.20633006095886,0,
"23-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98349529504776,0,0,0,0,0,0,0,0,0,0,
"24-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9472451210022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"25-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49174764752388,0,0,0,0,0,0,0,0,0,0,
"26-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15826177597046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"27-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,4.40467166900635,0,0,0,0,0,0,0,0,0,0,3.17042922973633,0,0,0,0,0,0,0,0,0,0,
"28-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"29-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71523427963257,1.58521461486816,1.85797894001007,0,0,0,2.74697542190552,0,0,0,0,0,
"30-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34402966499329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1-May",0,0,0,0,0,0,0,3.88808703422546,0,4.34257650375366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4801025390625,0,0,0,0,0,0,0,0,0,
"2-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22320675849915,0,0,0,0,0,0,
"3-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82355690002441,0,0,0,0,0,0,3.63255882263184,0,0,0,2.22320675849915,0,0,0,0,0,0,
"5-May",3.32178425788879,0,0,0,0,0,0,0,0,17.3703060150146,0,0,0,3.92235016822815,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42549657821655,0,0,0,0,0,0,0,
"6-May",0,0,0,0,0,0,15.9335737228394,0,0,0,0,0,0,7.15690803527832,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28135395050049,0,0,0,0,0,0,0,
"7-May",0,0,0,0,2.65294790267944,0,5.31119108200073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22563719749451,0,0,0,
"8-May",7.58447217941284,0,0,4.12310791015625,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3520302772522,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22563719749451,0,0,0,
"9-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15042471885681,0,0,0,
"10-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07521235942841,0,0,0,
"11-May",0,37.4236946105957,6.75295925140381,0,0,0,0,0,4.75964498519897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31707620620728,
"12-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96176171302795,2.35802316665649,0,0,0,17.6931915283203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"13-May",0,0,0,1.70897769927979,0,0,0,0,0,0,0,0,0,0,0,2.35802316665649,0,0,0,0,0,0,0,7.99215316772461,0,0,0,0,0,0,0,0,0,14.407036781311,0,
"14-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07406902313232,0,0,0,0,0,0,0,0,0,0,0,7.05890512466431,0,0,1.96821796894073,0,0,0,0,
"15-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35802316665649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"16-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.691951751709,0,0,0,0,0,1.84545624256134,0,0,0,
"17-May",0,0,0,0,0,0,0,0,0,0,0,0,1.85701501369476,0,0,0,0,0,0,0,19.1745548248291,0,0,0,0,0,8.82603740692139,0,0,0,0,1.84545624256134,2.88247513771057,0,0,
"18-May",0,0,0,0,0,0,0,3.29530096054077,0,0,0,0,1.85701501369476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19-May",0,0,0,0,0,0,0,0,0,0,0,0,3.71403002738953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54532623291016,
"20-May",0,0,8.89049625396729,0,0,0,5.9231276512146,0,0,0,0,0,5.571044921875,0,0,0,0,0,6.86901760101318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"21-May",0,0,10.9670867919922,0,0,0,6.9418478012085,0,0,0,14.3997802734375,0,0,3.43561339378357,0,0,0,0,1.57687091827393,0,2.29084849357605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"22-May",0,0,0,0,0,0,6.9418478012085,0,0,0,0,0,0,0,3.22632265090942,7.31043434143066,0,0,5.03980302810669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"23-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65521717071533,0,0,0,0,0,0,7.80725002288818,0,3.61985301971436,0,0,18.2975025177002,0,0,14.2789154052734,0,0,4.3095703125,0,
"24-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3095703125,0,
"25-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"26-May",0,0,0,0,0,7.03727436065674,9.6998119354248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"27-May",0,0,0,0,0,7.03727436065674,0,0,0,0,0,11.2689905166626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25113439559937,
"28-May",0,0,0,0,0,14.0745487213135,4.8499059677124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3685684204102,0,0,0,0,0,0,
"29-May",0,0,0,0,0,3.51863718032837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3936309814453,0,0,0,0,0,0,15.3685684204102,0,0,0,0,0,0,
"30-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3592491149902,0,0,0,0,0,0,0,0,0,0,0,0,2.98333549499512,0,0,0,0,0,
"31-May",0,0,0,0,5.84811067581177,0,0,0,1.42825257778168,0,0,0,0,0,0,0,10.8143434524536,0,0,0,0.649902582168579,0,0,1.00940883159637,0,0,2.54188537597656,0,0,2.98333549499512,0,0,4.94345045089722,0,0,
"1-Jun",0,0,0,0,4.11356973648071,0,6.31396675109863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8552026748657,0,
