"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"24-Feb",0,0,-999,0,0,0,0,10.0997371673584,10.1957588195801,0,0,6.64609527587891,0,0,0,0,0,0,0,0,0,2.51904296875,0,4.72044897079468,0.428006291389465,0,0,0,0,0,0,4.85073757171631,0,0
"25-Feb",0,0,-999,-999,0.925232410430908,0,0,-999,0,0,0.749416947364807,0,0,1.80572545528412,0,0,0,0,0,0,0,0,0,1.90197682380676,0,0,0,0,0,0,0,0,0,0
"26-Feb",0,0.203820437192917,0,0,0,1.96906578540802,0,-999,0,1.55184543132782,0,0,0,0,0,0,0,0,0,0,0,0,0.781115293502808,0,5.10393524169922,0,0,3.0607123374939,0,8.45803451538086,0,0,0,0
"27-Feb",0,0,-999,0,9.01311111450195,0,0,-999,0,0,0,0,0,4.75824308395386,0,0,0,0,-999,0,0,5.6602635383606,9.71437072753906,1.53999209403992,14.6174917221069,0,0,11.2396621704102,0,0,0,0,0,5.17736911773682
"28-Feb",0,4.76756858825684,2.21939206123352,0,0,0,0,-999,0,0,0,0,0,4.85463190078735,0,0,0,0,0,0,3.74532747268677,0,6.5013484954834,28.1514320373535,21.2227592468262,0,0,23.4794960021973,0,0,0,0,0,0
"29-Feb",,3.5354471206665,,,,0,,,,0,,,,0,,,,0,,,,10.3305177688599,,,,0,,,,5.96517324447632,,,,0
"1-Mar",0,0.767988681793213,0,0,0,0,0,-999,0,0,0,0,0.672642111778259,0,0,0,0,0,0,0,0,0,10.4140558242798,6.88969707489014,0,0,0,9.63121795654297,0,3.9906005859375,0,0,0,0
"2-Mar",0,0,1.91517269611359,1.77088510990143,6.11549854278564,0,0,-999,0,8.18233108520508,0,0,1.50337648391724,10.6277675628662,0,0,0,0,0,5.31496047973633,0,1.06373393535614,0,0.4833984375,0,0,0,0,0,0,0,0,0,4.98814105987549
"3-Mar",0,0,0,0,0.454504579305649,4.69458675384521,0,8.01286697387695,0,0,0,3.78209042549133,42.3756141662598,3.44956493377686,0,0,2.37151479721069,0,0,0,0,0,0,15.71950340271,0,0,0,16.1756744384766,0,0,0,0,0,0
"4-Mar",0,0,0,5.78609561920166,0,1.54173278808594,0,4.05373191833496,0,0,0,4.63710308074951,0,0,0,0.286694288253784,0,0.383425831794739,0,2.25156545639038,0,0,0,2.69991660118103,0,0,0,0,0,8.79859352111816,0,0,0,0
"5-Mar",0,0,-999,0.64453125,-999,4.4707179069519,0,10.2839202880859,0,0,0,7.82159757614136,0,0,0,-999,0,0.432687163352966,7.75415897369385,0,0,0,0,0,0,6.74751377105713,0.691248893737793,20.0509777069092,0,0,0,0,0,0
"6-Mar",0,0,-999,-999,0,18.2847919464111,4.77782344818115,0,3.25718951225281,0,0,3.47813892364502,3.92300581932068,0,0,4.81820631027222,4.73928546905518,0.242000237107277,25.5021533966064,5.73644256591797,0,1.61186468601227,0,0,0,18.0000019073486,0,0,8.92264556884766,0,0,0,0,0
"7-Mar",0,0,0,17.8289241790771,0,2.00151515007019,-999,2.92754459381104,2.67592883110046,0,0,0.61671245098114,6.37427759170532,2.24033832550049,0,4.41978931427002,7.73687601089478,0,31.6810684204102,3.24103260040283,0,0,4.28776264190674,0,0,0,0,0,0,0,0,0,0,0
"8-Mar",0,0,0,0,16.1574554443359,0,4.53442478179932,8.25109481811523,0,0,7.10304594039917,0,4.65347576141357,0.322265625,0,4.7243971824646,6.4896411895752,0,0,0,0,0,0,5.09630584716797,0,0,0,0,0,0,6.51963376998901,0,0,20.9888553619385
"9-Mar",0,0,0,0,13.783805847168,0,0,2.40817952156067,0,0,0.783386588096619,-999,7.82126474380493,0,0,5.5403904914856,2.74721026420593,0,0.70040237903595,0,0,0,0,0,0,0.48881396651268,0,1.97357475757599,0,0,6.14878177642822,0,0,1.74220788478851
"10-Mar",0,0,0,0,9.52111530303955,1.06506884098053,0,0,0,0,0,0,0,0,0,1.00144565105438,7.61065149307251,0,0,42.3971214294434,0,0,0,0,0.202833116054535,0,0,0,0,0,3.78391885757446,0,0,
"11-Mar",0,0,0,0,-999,1.61765789985657,0,2.31765055656433,8.63966941833496,0,0,0,3.24843215942383,0,0,0,5.64740467071533,0,0,8.13248920440674,0,18.9087104797363,0,0,15.66916847229,0,4.08001947402954,0,0,0,0,4.41487169265747,0,0
