Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
17-Feb,3.4,8.2,0,0,0,3.1,0,0,0,11.6,0,9.5,0,0,0,10.4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,-9999999,0,0,6,0
18-Feb,3.1,3,3.6,0,0,0,1,0,0,5.6,0,0,0,4.2,0,2,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,1.2
19-Feb,0,1.8,9.7,0,0,0,41.5,0.2,0,0.4,0,0,0,2.3,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,-9999999,2.6,0,0,0
20-Feb,0,0,0,0,0,0,1.5,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,1,1.4
21-Feb,0,0,0.6,0,0,0,21.5,0,4.4,45.3,0,10,0,0,0,1,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,-9999999,0,2.6,15.2,0
22-Feb,0,0,0,0,0,0,0,0,3.8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0.2,5,0
23-Feb,0,0,0,0,0,0,1,2,0,1,0,0,0,17.5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,-9999999,0,0,0,0
24-Feb,0,0,0,0,0,0,0,0,0,14,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
25-Feb,0,0,0,0,0,0,0,11.6,0,21.6,0,0.8,9.4,0.4,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,-9999999,0,0,0,0
26-Feb,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0
27-Feb,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,15,0,0,0,0,-9999999,5.8,0,0,0
28-Feb,0,0,0,10.3,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0.2,0,0,0
29-Feb,,,,3.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
01-Mar,0,0,0,13.2,0,0,0,0,0,9.4,0,0,29.4,3.1,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,-9999999,0.8,0,0,0
02-Mar,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,4.5,0,0,6.5,0,0,0,0,0,0,0,0,0,0,7.1,-9999999,0.4,0,0,0
03-Mar,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10.1,0,0,1.3,0,7.9,0,0,4.5,-9999999,0.2,0,0,0
04-Mar,0,0,0,0,3.9,0,0,0.9,0,0,0,5.1,0,0,0,0,0,0,0,0,0,14.2,0,0,0,4.3,10.6,0,0,0.3,-9999999,0.2,0,0,0
05-Mar,0,0,0,0,9,4.8,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,30.2,0,0,0,0,18.2,17.8,0,0,0,-9999999,4.2,0,0,0
06-Mar,1.4,0,0,0,18.4,2,6.8,0,2.3,0,0,0,5,0,0,5.2,0,0,2.4,0,36.8,6.6,0,0,0,0,0,0,7.3,0,-9999999,1,0,0,0
07-Mar,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,5.5,0,0,9.5,0,0,20.4,0,2.1,0,8.1,0,0,0,0,-9999999,0.2,0,0,0
08-Mar,0,0,0,0,2.2,0,0,2.2,0,0,0,0,0,0,0,0.7,0,0,2,0,0,16.1,0,0,0,3.4,0,0,0,0,-9999999,0,0,0,0
09-Mar,0,0,0,0,0,0,0,56.1,0,0,0,0,13,0,0,9.5,0,0,1.5,0,0,16.5,0,0,0,0,0,0,0,0,-9999999,0,0.2,0,0
10-Mar,0,0,0,0,0,0,0.8,4.8,0.3,0,0,0,0,0,0,1.3,0,0,10,0,0,7.1,0,35.5,0,0,0,0,2.1,0,-9999999,0,0,0,0
11-Mar,0,0,0,0,0,0,0,0,3.4,0,0,0,2.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,34.2,0,0,0,-9999999,0,5.6,0,0
12-Mar,0,0,0,0,0,0,0,0,10.7,0,0.4,0,0.1,0,0,13,0,0,4.5,0,0,0,0,0,0,2.1,4.1,0,0,22.5,-9999999,0,0.8,0,0
13-Mar,0,20,26.8,0,0,2.8,0,0,14.6,0,0,0,6.4,0,0,0,0,0,24,0,0,0,0,17,0,3.1,0,0,0,7.1,-9999999,0,3,14.4,0
14-Mar,0,0,2.5,0,0,2.1,2.2,38.9,0,0,0,1.8,9,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,-9999999,0,0,36.4,0
15-Mar,0,6.9,0,0,0,1,0,5,0,0,0,12.2,0,1.1,0,31.6,0,0,0,0,0,0,0,3.5,0,0,0,0,0,11.2,-9999999,0,0,23.4,0
16-Mar,0,8.2,0,0,14.6,0,0,0.7,0,0,0,1.6,0,0,0,0,0,0,0,0,0,4.3,0,7.5,10.3,0,0,0,0,0,-9999999,0,0,1,0
17-Mar,0,0.2,0,0,0,0,0.7,1.5,0,0,0,6.8,0,9,0,0,0,0,0,3.2,0,7.2,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
18-Mar,0,0,0,0,0,8.9,12.5,0.5,0,0,0,1,0,20,0,9,0,0,0,0,2.3,0,0,0,4.5,0,3.1,0,0,0,1.6,0,0,0,0
19-Mar,0,0,0,21.5,0,2.8,0.8,0,0,0,0,2,0,26.4,0,3,0,0,0,0,4.1,5.8,0,0,5.3,8.7,0,0,0,26.1,0.2,0,1.2,0,0
20-Mar,4.2,0,0,9.2,3.5,0.3,4.6,2,0,0,0,0,0,1.6,0,0,0,5.6,0,0,0,0,0,5.1,9.1,0,0,0,30.9,9.1,13.4,0,14,0,0
21-Mar,0.4,0,0,0,1.9,4,0,14.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0.6,12.2,0,13,0,0
22-Mar,0,0,0,0,0,1.9,8.4,4,0,0.8,2.1,0.9,1.5,4.5,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,1,0,14,0,0
23-Mar,0,2.5,0,4.9,0,0,0,0,0,2.1,6.4,13.5,0,0.4,0,0,2.5,0,0,0,4.1,0,7.5,0,0,1.3,0,0,0,0,2.6,0,4.6,0,0
24-Mar,0,0,0,24.3,0,0,20.7,1.4,0,4.5,1.5,5.5,1.1,0,0,0,7,0,0,0,3.8,0,3.1,17,0,4.3,7.6,0,10.7,0,8.6,0,0,0.8,0.4
25-Mar,0,0,0,0.6,0,0,5.2,0,11.9,1.6,0,1.8,0,31.8,1.5,0,0,0,3.4,1,27.1,8.5,0,8.5,13.1,13.7,1.2,0,0,0,0.2,0,0,39.6,1.8
26-Mar,0,0,0,16.3,0,7,2.2,0,18.9,0,0,0.7,0,2.6,3.2,11,2.5,0,0,0,0,10.5,0,0,7.3,4.3,0,0,0,31.1,0,0,0,28.6,0
27-Mar,0,0,0,28.7,0.8,0,0,0.5,0,0,0,0,0,10.1,15.3,9.6,9.9,0,6,0,6.3,0,9.1,0,10,13.7,0,0,0,18.7,0,0,0.2,45.2,0.2
