"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"6-Mar",0,0,-999,-999,0,0,0,6.90997409820557,0,0,0,0,7.80056047439575,0,0,0,0,0,0.95035320520401,0,0,0,0,0,0,0,0,7.84618473052979,0,0.233823031187057,0,0,0,0.819460690021515
"7-Mar",0,0,0.593597114086151,42.0722465515137,0,0,-999,11.0673084259033,0,0,0,0,8.14370822906494,0,0,0,0,0,0,0,0,0,0,0,0,1.98349630832672,0,11.1397714614868,0,0,0,0,0,5.85741996765137
"8-Mar",0,0,0,0,0,0,0,0.758844614028931,0,0,0,0,0,0,0,0.504805207252502,0,0,0,0,0,0,0,0,0,5.8805947303772,0,4.05504703521729,0,0,0,0,0,1.25287580490112
"9-Mar",0,0,0,0,0,0,0,2.43751668930054,0,0,49.8230133056641,-999,13.7114934921265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1403007507324,0,0,0,0,0,26.6976928710938
"10-Mar",0,0,0,0.815818428993225,0,0,0,0,1.04086458683014,0,14.5932579040527,0,2.92294049263,0,0,0,30.5045280456543,0,0,6.99055624008179,0,0,0,0,0,0,0,0,0,0,0,0,0,
"11-Mar",0,0,0,0,-999,0,0,0,11.7180709838867,0,0,0,2.02605056762695,12.7158861160278,0,0,1.19732320308685,0,0,3.23834347724915,0,1.22520232200623,0,0,0.279013305902481,0,0,0,0,0,0,0,0,0.39043989777565
"12-Mar",0,0,0,0,0,0,0,4.91537666320801,0,0,0,0,0,0,0,0,3.32502555847168,0,19.4802150726318,1.04596352577209,0,26.2814178466797,0,0,0,0,0,0,0,0,0,30.4061985015869,0,0
"13-Mar",0,0,0,0,0,0,23.6063137054443,0,29.6505146026611,0,3.8833589553833,0,0,3.88570809364319,0,0,3.85783314704895,0,0,2.94513964653015,0,0,2.97307705879211,3.89431858062744,0,0,0,0,0,0,0.799009084701538,117.426475524902,0,0
"14-Mar",0,0,0,0,-999,0,0.939373075962067,9.15306282043457,0,0,0,0,0,0,0,0,13.8552837371826,0,0,0.7600998878479,0,0,0,0,0,0.802247643470764,0,0,0,0,2.98052644729614,18.080774307251,0,0
"15-Mar",0,9.74871063232422,-999,0,0,0,12.6623220443726,76.5739593505859,0,0,0,0,0,0,0,0,0.527408301830292,0,0,0,0,0,0,0,0,0,0,5.97409296035767,0,0,0,0,0,0
"16-Mar",0,3.94986534118652,-999,0,0,0,0,3.94376707077026,0,0,0,0,1.00051295757294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03398275375366,0,0,0,0.245052918791771,0,0
"17-Mar",0,0.305090874433517,0,22.1125221252441,0.202242970466614,0,0,11.5311317443848,0,0,0,0,0,0,0,-999,0,0,0,0,0,1.9458132982254,0,0,0,0,0,0,0,0,0,4.05123472213745,0,
