Day,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
16-Apr,0,0,0,0,37.6,9.4,30.4,-9999999,36.9,0,0,0,0,0,-9999999,0,37,48.8,0,0,48.2,-9999999,0,0,0,39.5,0.8,0,0,0,40.5,40.5,11.5,3.8,13.4,8.2,13,12.6,0
17-Apr,0,0,0,0,50.3,0,6.7,-9999999,0,0,0,0,0,0,-9999999,0,26.4,40.1,0,0,11.2,-9999999,0,0,0,36,3,0,0.2,14.6,50.2,50.2,3.1,1.8,4,1,28.2,1.8,61
18-Apr,0,0,0,0,18.4,10.1,0,-9999999,22.7,0,0,10.3,0,0,-9999999,33.5,12.7,0,0,0,0,-9999999,0,0,0,0,4,0,0,18.5,3,3,0,11.4,0,4.8,0.2,7.2,35.4
19-Apr,11.5,0,7.2,42.9,0,0,11.3,-9999999,0,0,0,89.2,0,0,-9999999,0,0,0,67.8,0,0,-9999999,0,0,3.2,3.8,35.6,0,0,0,0,0,0,2,1.4,0.2,8.2,20.4,0
20-Apr,15.6,0,0,33.2,0,0,60.3,-9999999,6.5,0,43.1,98.5,0,0,-9999999,67.1,17.1,0,11.9,0,0,-9999999,11.3,0,0,31.2,0.8,0,0,2.7,0,0,42.5,3.2,0.8,0.4,15.8,0.6,0
21-Apr,11.8,22.3,0,6.2,0,0,10.8,-9999999,15.1,0,33.1,78,42.3,0,-9999999,0,0,42.9,0,0,27.2,-9999999,1.6,0,9.5,9.4,33,22.5,0,0,17,17,76.5,4.4,2.4,20,0,0.6,10.2
22-Apr,0,0,0,0,0,13.4,0,-9999999,0,4.2,0,4,0,36.7,-9999999,0,11,2.6,0,0,29.8,-9999999,12.3,0,0,21.4,0,0,1.5,5.6,34.5,34.5,3.5,0,11.8,5,0.4,0,16.6
23-Apr,0,20.4,0,0,0,12.5,20,-9999999,0,27.5,0,6.1,41.4,59.5,-9999999,0,10.1,16.3,0,0,12.1,-9999999,0,7.3,0,15.7,3.5,2.1,0,3.9,18,1.8,14,0.4,10,26.8,5.2,0,0
24-Apr,30.3,21.5,28.6,0,0,52.6,21.1,-9999999,0,0,0,0,55,8.3,-9999999,0,33.3,48.2,0,0,9.7,-9999999,0,0,6.3,12.3,0,0,0,0,39,39,3,0,1.8,16.4,0.2,4.6,54.8
25-Apr,30.8,35.3,11.5,29.6,11.2,0,22.4,-9999999,35,0,0,3.1,30.2,0,-9999999,0,0,20.2,0,8.6,50.1,-9999999,0,0,0,50.3,0,0,0,0,0,0,0,0.6,10.4,40,0,31.2,0
26-Apr,30.7,37.1,2,0,0,22.1,65.5,-9999999,8.3,0,26.3,34.5,0,0,-9999999,0,0,34.4,0,0,0,-9999999,0,0,0,39.5,0,13.3,1.2,1.6,0,0,0,12,5.4,45.8,0,0,2.4
27-Apr,30.5,0,0,0,0,0,6.6,-9999999,0,32.5,0,0,0,0,-9999999,17,0,23.6,8.7,0,0,-9999999,0,0,0,43.2,41,0,0.5,6.3,5,8,0,2.6,12,23.6,0,0,47.8
28-Apr,29.4,0,9.4,0,0,22.7,0,-9999999,0,42.5,0,43.5,21.1,0,-9999999,52.4,0,0,0,0,0,-9999999,21.6,0,46.8,91.7,12.1,8.3,63.2,0,0,0,0,0,93.4,20.6,3.6,0,1.4
29-Apr,31.4,0,9.1,0,0,22.4,0,-9999999,5.6,5.3,0,0,0,0,-9999999,22,0,0,58.5,0,0,-9999999,18.7,0,5.4,113.3,38,7,0,0.1,0,0,0,0.2,23,0,0.4,0,34.6
30-Apr,0,0,0,0,0,0,0,-9999999,0,0,17.2,0,0,0,-9999999,0,0,0,0,9.3,0,-9999999,13.2,0,0,6.2,0,0,0,8.8,13,13,0,4.6,5.6,38.2,2.8,0,9.6
01-May,32.3,0,3.2,29.2,12,14.9,0,0,20.6,29.4,36.1,0,0,0,13.1,30.3,0,6.7,10,0,16.8,-9999999,4.5,0,0,0,0.7,-9999999,0,5.6,15,15,0,0.8,0,8.8,1.2,0,1
02-May,20.2,5.8,0,39.8,4.2,0,7.6,0,15.7,0,7.5,0,0,0,4,32.1,28.1,33.8,5.3,0,0,-9999999,0,0,0,21.9,20,-9999999,0,9.3,0,0,0,1.2,0,12.2,16.2,0,12.8
03-May,16.8,0,0,0,4.4,43.2,0,0,4.7,8.4,0,0,0,0,0,0,17,0,0,0,0,-9999999,4.8,0,26.2,0,12,-9999999,18.1,9.8,0,0,0,1.8,0.6,0,1.2,12,2.8
04-May,18.5,0,0,5.3,0,44.3,5.4,0,5.9,6.5,0,45.4,0,0,0,0,56.4,0,0,0,0,-9999999,0,0,0,107,0,-9999999,0,0.7,44.3,44.3,0,8.4,1.8,32.4,0.4,0,0
05-May,20.4,0,4.3,0,0,7.8,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,8.3,-9999999,0,0,0,37.4,8.8,-9999999,0,0,0,0,0,18.6,52.8,26.6,1,1,0.2
06-May,0,0,0,0,9.4,0,8.9,0,0,6.1,0,0,0,11.6,0,0,0,0,0,0,0,-9999999,6.6,0,0,22,3.1,-9999999,0.5,0.7,0,0,0,0,4.2,0.2,2.2,0,0
